status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
verified	approximate	8683	6605		e3d19f6abc45a24bbf162e211a2c68475e116bee9fffe4095b5ce7b6218a628d	3ae78b28ff215301cb50809be71aea025601419e995c07100b37dc55af2972f4	instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/kinderlied.xm	Dalezy/kinderlied.xm	
verified	approximate	7992	4640		dc36d876f887ab6a7fa8e73c5199e63de55fa385c4c7cf210565fc25c1270254	5070670f34e8314858ea13b9cf1b589ad55d6d18e219b88609ff1fa15f6396e7	126 volume-column fine slides are discarded; enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/king%20of%20the%20ring.xm	Dalezy/king of the ring.xm	
verified	exact	2704	2281		110403677b2e6b0b05f841d7ecb52fd6f2ddd3889c9a6c6a9cf4098aaa787913	025b31215b72f7889d3af998166cf9b3f22cc535bb743e2b93bcb122e6303d05		https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/korv.xm	Dalezy/korv.xm	
verified	approximate	14190	13470		85a1d5dfbdb5cb96f6ce8b69b260375a959560a1c2e09f799d5a1a23d081a1a1	a9c6d422dcdf6e0756991410d48413c143f45004a2da5df4c55d0e217570a858	326 volume-column fine slides are discarded; 575 volume-column slides that share a main effect are discarded	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/krome.xm	Dalezy/krome.xm	
verified	approximate	22683	14771		77f0d8f9a894d0e0f6e2596f52aa942a40f369bfd974b08b5c34f1f2a360221c	6d8cae074acc40e6d82853e700998379f6fb1895801d2b15cf6449631cd56035	enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/laukkupolskamies.xm	Dalezy/laukkupolskamies.xm	
verified	approximate	17991	9448		c961455908f2718237f008f32d5170d853513755175b27d5aa9362be5c30644b	55b3449cec9930ff8a2b034b5947aeb7bdc637c3bb9d91555a0e110c7fd85b5b	165 volume-column fine slides are discarded; 8 volume-column slides that share a main effect are discarded; enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/laxhjarna.xm	Dalezy/laxhjarna.xm	
verified	approximate	47280	15942		70c297989875dc0f66f9a68673a1112c4d0351d361a8ed97720dd9db4ed9684d	db8fd14dbce09521bb8bf3aa831d99a40f41eba5b9a69d0bdc7b46ba49ed6c6a	42 sample-offset commands start samples from the beginning; 15 volume-column fine slides are discarded; 1 volume-column slides that share a main effect are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/lichees.xm	Dalezy/lichees.xm	
verified	approximate	4118	2887		7822e280cd6a2aac60d6ec1f6bab25ca80a4184c6a84e39ecd4b19e162c3bd61	40ff80176fb2ce05d739c19ce67131849ca05f80a362d11cd8bd920df012027b	120 volume-column fine slides are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/littlenemo.xm	Dalezy/littlenemo.xm	
verified	approximate	19788	14599		9d888412ed917c6077a37de0557a2abc54e3ff80b6d87325deeab6d3762cd5d9	fb52e55a26ecf5ca8a86360a80a4d3a37d7c59f78c6b8598a5dc15c0ecf417e8	123 volume-column fine slides are discarded; 178 volume-column slides that share a main effect are discarded; enabled panning envelopes are not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/lotus%20drei%20remix.xm	Dalezy/lotus drei remix.xm	
verified	approximate	25744	17650		43e6995d510367dce230fd71085aeba3b1830d32ee1d594246c05bb9d367a964	baffbf99d43256a77699bd5209c95e89a53802aaec096a17a5754c16c1b6c416	108 volume-column fine slides are discarded; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/love-ya%21%20lezychip.xm	Dalezy/love-ya! lezychip.xm	
verified	exact	5665	4965		55f34c3ac6c7da796720796942aaab9dc9f49f664703ccca98f373c9ba04db28	4081abd7a99fe570e37c1b49c6fb4c57ee0e5abf7c9a80dc0797a85486ce09f4		https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/lucid%20dream.xm	Dalezy/lucid dream.xm	
verified	approximate	41235	16892		75fce2be773fc4d4b4282295003ac2c781ea2df26841b9fb3490788e2248354d	35d0af3d7b4e39c5522b0b2ea057b9012d41ead12299fc66baca014dc88e8aeb	enabled panning envelopes are not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/m0n0%2C%20t0n%20%232.xm	Dalezy/m0n0, t0n #2.xm	
verified	approximate	40401	16245		c90fd3fb10b436adc8593bc7ac60565ae7d7188e4e879fa2b7cb79df73d8b4bb	f4f91631f51561dbc0385be524a754a88752002a590e6d7f98fbe1e5a18a1d60	47 volume-column fine slides are discarded; 40 volume-column slides that share a main effect are discarded; enabled panning envelopes are not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/m0n0%2C%20t0n.xm	Dalezy/m0n0, t0n.xm	
verified	approximate	33323	12818		2f2eaaf6bcdf914df342780fce5bdc4648c646616618efb682f3e389c7592f35	b0941a519327f01833cd5c492749c2a829631bba8b4106dc1aa852b968f1a200	21 volume-column fine slides are discarded; enabled panning envelopes are not rendered; instrument automatic vibrato is not rendered	https://ftp.modland.com/pub/modules/Fasttracker%202/Dalezy/makkomies.xm	Dalezy/makkomies.xm	
