status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
too-large	approximate	90918	61139	91372	9bebc70ededaa752dfbf1355849f19ed9b2d7656d370a123fb9af5de53ef8498	6a3126d2d3a486fa7e5f141f19479012a462c0f1a05ba87376ded5aca8553ee0	7 non-looped samples become 16 kHz PCM one-shots; 7 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/country.mod	Mahoney/country.mod	
too-large	approximate	57986	40237	70470	b31831c05966ca69604c8703e5ce9e6045353e1add64591749869bfaf623471b	e1b37bb8d7a9926307dd823411f9bd50171def5c52b2041114bd9bd9623eab48	6 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 6 non-looped samples become 16 kHz PCM one-shots; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/eat%20it.mod	Mahoney/eat it.mod	
too-large	approximate	65090	44898	75131	6855a97f621a57316919fd80cc6e94bf5e433f8d32269d7fe66aa46a16458632	451607e2c0457a2f10bb4005098727b5b9e373fb88f378c5cb1eacd20c8e4a01	80 tone-portamento+volume slides keep only tone portamento; 4 tremolo commands are discarded; 7 non-looped samples become 16 kHz PCM one-shots; 3 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/exchange.mod	Mahoney/exchange.mod	
fit	approximate	14780	9520	39753	8f231c90ed1f75751f0b2eab20de7bf84f71b9220c59756c323c5fbbe742945b	0fe47fce37f87a5c4bf953df661b6ee6bedd879589ed5f59b4ed2124c468aec0	1 non-looped samples become 16 kHz PCM one-shots; 1 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/fainter.mod	Mahoney/fainter.mod	
too-large	approximate	62914	61492	91725	9f067c013ebee4d9574b5222923d3cc2732f2aedeccf77ac0244367fdc235e50	81c5ed7dbfa00089696f340537ad307aa8bcb865c72758e4507f0d727206dee9	11 Amiga LED filter commands are ignored; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/filt.mod	Mahoney/filt.mod	
too-large	approximate	108710	93283	123516	3737d1cfceb60dbcc866f310eca7611621788c0fd9d7b3378a06f65ccfa1a330	eeb593613cdc774eefaecf6934f1954a5c2b304305d97d973b57adf69d7b9055	12 non-looped samples become 16 kHz PCM one-shots; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/frogfriend.mod	Mahoney/frogfriend.mod	
too-large	approximate	112128	65687	95920	af645d6f001ab6a415dc0a594adf5b14c20cc6a7b181c7ba2fc5d991ba444bb6	bd953b5f8606f5bf92cadc91dec38dfa3e9f86ce081689792b1fb532f9d14255	2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 8 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/froggin%27%20mixer.mod	Mahoney/froggin' mixer.mod	
too-large	approximate	76336	48908	79141	72f67e2088b1a21cdf5db91a82ebfadd1ee6c77a3de3fc3e26b382bc20ef6cb2	c68beba71ce956607eacdbd8e60b071178177e9911be643ab1d825119d23a491	2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 9 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/grab%20them%20all.mod	Mahoney/grab them all.mod	
too-large	approximate	164378	134431	164664	4cc2079f063849de76b649101a332f97255ce9f26c4be4c4a17c7f657317da2e	2ac86ffff84fffcec45ca8685ed68853ae0764140afb6d54ba8235a3096aa1c8	panning commands are discarded because hardware output is mono; 48 tone-portamento+volume slides keep only tone portamento; 2 vibrato-volume slides keep only the volume slide; 195 tremolo commands are discarded; 13 non-looped samples become 16 kHz PCM one-shots; 12 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/greetingcastle.mod	Mahoney/greetingcastle.mod	
too-large	approximate	92928	62897	93130	067f56e192248df06c9bad9cfb1704150d76884f568a4801feb065b366fb6529	a1581e6b27678e6f845dd6dcc176975d4ac4b0b653f4d956e78dfbf09e040b51	13 non-looped samples become 16 kHz PCM one-shots; 10 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/grytlock.mod	Mahoney/grytlock.mod	
too-large	approximate	64902	35916	66149	5c590f3eb52ef64a4c50f8adc254cffda06d5bf6e3f5557dc59df08b3ce9974b	825d7f92289f0bc831cab1a91375a021fc9783ec34a386250634b0107066b904	60 vibrato-volume slides keep only the volume slide; 4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 7 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/heropop%20ii.mod	Mahoney/heropop ii.mod	
too-large	approximate	66152	51631	81864	9fb6a6c47329502064d13cc2aeb01ced14e36e5e86b9aac709b77d5281842e5b	9beaec4bcf525ed0c21568fb7038c562075319ef6fba2997f0a08994ffb0e99c	panning commands are discarded because hardware output is mono; 5 vibrato-volume slides keep only the volume slide; 3 tremolo commands are discarded; 1 Amiga LED filter commands are ignored; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/homeonthebench.mod	Mahoney/homeonthebench.mod	
too-large	approximate	95584	59079	89312	c271101332b99398dc4024385fe30f533527330fdc30e1eddebe3fc1e3277cac	74ce8b1dea108e6e7cda03823c41204fe881436d5fc2d6dfe0554d1e19af4f1d	panning commands are discarded because hardware output is mono; 5 tone-portamento+volume slides keep only tone portamento; 4 vibrato-volume slides keep only the volume slide; 11 tremolo commands are discarded; 9 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/jane.mod	Mahoney/jane.mod	
too-large	approximate	72368	52165	82398	2e5ef9cdfc60b1b9be9f72223ac2698b352a615186ef1441a72cb3420ac8f6a8	142ca6cba4d502152e9ee1e0791bcacb23b17653aba1066c1e4e34b8ae0ef0e0	3 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/jazzid.mod	Mahoney/jazzid.mod	
too-large	approximate	110668	82899	113132	917ad4e8a91c32759d795d3504c74fcffea92dd774c2183423a86c5fc7021e87	7a43b765003b0a04f8a82abb0a86d3e65065cad052e85e7901a54de10db9324c	panning commands are discarded because hardware output is mono; 7 tone-portamento+volume slides keep only tone portamento; 8 tremolo commands are discarded; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 8 non-looped samples become 16 kHz PCM one-shots; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Mahoney/jobba.mod	Mahoney/jobba.mod	
