status	grade	xm_bytes	t10p_bytes	firmware_bytes	xm_sha256	t10p_sha256	warnings	source_url	path	error
verified	approximate	51006	31209		776877430bc9410578a16912f925a2b6a59eb13db64a8f12eea83f86126ebf35	aa0baa005eea40a81be72e405a81d01b8e03deb248a04ae1de48f19cfb3c5c7a	8 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Dr.%20Awesome/avoidtune.mod	Dr. Awesome/avoidtune.mod	
verified	approximate	49088	27095		9703e768fc3d4b22c9b3a60905fd11abe085c2e4b712a5a0d119c253a323b491	29f08dd28003871524918975bfc567ee95dd0a18c86422eb7970d3e1e5fa2a21	1 Amiga LED filter commands are ignored; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 4 short loops become 16-point wavetables and sustain until cut; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Dr.%20Awesome/awakening.mod	Dr. Awesome/awakening.mod	
verified	approximate	12346	9256		b60c580632f92d76359a2aa2d22a5b77c61964e5b460c6bcd6208072d33c916a	b2b4323f415b28c6e6718b88635ae37b1e3d22b90995ed7255042c4bf2b26820	2 tone-portamento+volume slides keep only tone portamento; 14 vibrato-volume slides keep only the volume slide; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 4 non-looped samples become 16 kHz PCM one-shots; 2 short loops become 16-point wavetables and sustain until cut; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Firefox/hiscore.mod	Firefox/hiscore.mod	
verified	approximate	31986	21397		fe1a671bc0df86d1de944b6ca52bf5ec96a7a1302e92ccacce16d504a74ff46f	862cd1d24990f774191806eed4f4279476299f4ceff39215b2b755ed719dd4ae	1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 1 non-looped samples become 16 kHz PCM one-shots; 2 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Firefox/load%20tune%20iii.mod	Firefox/load tune iii.mod	
verified	approximate	53756	29288		c4f8d87ba2122d12b6e1ba02ab9aed99d4f2703ca18a55c080ee567e6092607d	85411a960a538cb2292ef717404c5582f0157fc1f8bce21f86f22e535045ae43	36 vibrato-volume slides keep only the volume slide; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 9 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Jogeir%20Liljedahl/00enjoy.mod	Jogeir Liljedahl/00enjoy.mod	
verified	approximate	38206	19603		22c671f864b6fce2f65b0a928ca693d2c982a1d0f32418bf37d8c7926489a2dc	0ac7b6342070912ff125af2d86586bda292d22b200eee1f4b2b360a53753b0e0	36 vibrato-volume slides keep only the volume slide; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 4 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Jogeir%20Liljedahl/00eojny.mod	Jogeir Liljedahl/00eojny.mod	
verified	approximate	46768	26049		277799a9fd35bf9ab9b9243f3431f0c32c6b63013ebbdbd2e0f5bd5a9d79f6b2	9f5402835902fd83473614c0d3575b6e7b8362222d54bedbc5b54ef0ba20e68f	32 vibrato-volume slides keep only the volume slide; 5 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 1 non-looped samples become 16 kHz PCM one-shots; 1 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Jogeir%20Liljedahl/a%20rambo%20rules%21.mod	Jogeir Liljedahl/a rambo rules!.mod	
verified	approximate	6372	4377		06c6dec75faa64cfb2ddc4d8a99f947a1cb1ea2fec2f1a51de6b379e719083ff	ce99dea1a26793997e5e878ff63474d8eeccccc58e3a60d3241003ff5f62b452	13 vibrato-volume slides keep only the volume slide; 1 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 1 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Jogeir%20Liljedahl/ballerina.mod	Jogeir Liljedahl/ballerina.mod	
verified	approximate	67038	31190		f26057f879637b855605b2a00d04d6d6baa7e834a1568157872d6eb1f9031e2e	1e1adf5d4735563d12a581a4f6e2d69c560508be0e53c00ae5d5394617ca07e5	6 Amiga LED filter commands are ignored; 4 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 1 non-looped samples become 16 kHz PCM one-shots; 5 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note	https://ftp.modland.com/pub/modules/Protracker/Jogeir%20Liljedahl/beast-gameover.mod	Jogeir Liljedahl/beast-gameover.mod	
verified	approximate	40724	20411		24118fc5a129ec20748479404691140789967a440f98a02750a5a56cfc686795	8a8ee12b1b3276eeff590b24b89cf37643e4df56e91402f46b8cab0c9317271e	6 sample-offset commands start samples from the beginning; 2 long sample loops become one-shot PCM (loop length > 64); sustain loops are not preserved; 5 non-looped samples become 16 kHz PCM one-shots; 6 PCM instruments are triggered at multiple notes; playback rate is baked from each instrument's most common note; 8 periods were clamped into notes 1..96	https://ftp.modland.com/pub/modules/Protracker/Laxity/i%27m%20a%20dick.mod	Laxity/i'm a dick.mod	
